title,rating,body
An attractive deal and a reliable phone,4,"  I bought this phone on the amazon prime sale. It was a great deal will a of discounts and I was able to buy it for under ₹9,000. I've been using this phone for almost a month now and here are my feedbacks.Firstly the good points. Very sleek, good screen size and the menus are user friendly. It has face unlock, pattern and pin unlock as well but no biometric. I can't be asking for more features for this price. 2 sim trays and one SD card tray which is great. I had been using both sim trays form this phone.Now for the bad points. I'm not able to set 2 different ring tones for each sim. So when a call comes in you can only tell by looking at the screen showing on which sim I am getting the call. Next, Screen brightness is not that great. On a bright sunny day, its sometimes not bright enough even if you turn brightness to the highest. Hotspot works fine but you cannot see how many devices are connected. Moreover, you also cannot see which device is connected. Then there are those unwanted, useless Mi apps that comes standard in the phones that send you notifications to upgrade and install even though those apps have not been updated by me.These are the major points. Apart from this, there seems to be no other issues. For a secondary phone this phone is great. Value for money."
Upgraded version of Basic Mobile,2,"  In the name of ""Budget"" phones, quality and features of the mobile is compromised. The camera quality is very poor. Adding to it, the mobile is full of bloatware which reduces the speed of the mobile. Most irritating is ads everywhere - In music, App explorer, Homescreen, in lock mode, wallpaper. You name it and there is an add"
Good quality under budget,4,"  Good product for budget price rangeBut camera quality is average otherwise, value for money  product"
Good,5,"  Happy to buy this good mobile , but little bit specs missing but value for money"
Worst experience,1,  Worst mobile within 10 days we got sound problem. Whatever I am playing no sound at all. After 10 days no return policy.
Dublicate product,1,  One of the Cheapest Chinese product in this category again. It is mentioned as 5000 mah battery in the specification but actually it is not upto the mark. Actually I bought this phone for my father as it has a bigger battery. But it drains automatically within 2 days when there is no usage. But redmi 8A which I am using presently is much better product when compared to this product.I don't know whether XIOMI is prescribing wrong speciation or AMAZON is selling a dublicate product. But my suggestion is don't buy this product even when you have little usage.
9a,5,  𝐍𝐢𝐜𝐞
Decent product for its price!,4,"  Best choice for low budget.BATTERY:It is upto use. If you use light apps and its normal function battery last upto 5-6 hours approx.#Using heavy apps(games) definately hange the device and heat it up.CAMERA:Looking at its price camera is decent . Quality is not too good, but can capture your precious moments at a decent quality.WEIGHT:Weight is light easy to handle .Looks nice.VIDEO QUALITY:The experience is not that hd  but gives you a nice experience. Sound quality is also good.It doesn't have fingerprint sensor , there is no back cover."
For the price it is ok..,3,  A good phone for the price.Seems little bit lagging. Back camera good but front camera pathetic. Not good for elderly people because bit bulky.Display is ok. Some of the apps like Google nearby sharing and files go app file sharing is not working.For the price range it is ok..Auto display brightness is crappy..
Overall good phone for daily use but go for 3gb variant.,4,"  Phone is good those who want a decent phone for daily use but first of all turn off all annoying ads they provide. No doubt on built quality, it is solid, durable. Battery life is very good. Camera gets the job done for daily use. I have 2gb variant which I won't recommend for others because I can feel slight lag if 4 apps are in the background, Go for Poco C3 3gb variant as it is the same brand of Mi,also it has better processer n u get 500rs discount on HDFC debit card. I trust Mi for long term use, I never had bad experience. Thumbs up if you find this helpful."
Good in use,4,  Smart use
"Camera poor quality,Hang",1,"  Worst packaging,Camera poor quality,mobile hanging while opening apps in it.Product is little bit ok."
Purchased the 3GB/32GB Nature Green Redmi 9A at Rs. 7499,4,  Purchased the Nature Green colour case on 23 Feb 2021 and was delivered on 25 Feb 2021. I've used it for a good couple of weeks and reviewing this purchase on 09 March 2021.It's value for money. The Camera quality is good and battery life is long as well.Actually I've placed another order for the Sea Blue colour one today.I also purchased mobile case and tempered glass with this purchase. below are the detailsBracevor Hybrid Back Cover Kickstand Case for Xiaomi Mi Redmi 9A and JGD PRODUCTS® Tempered Glass for Redmi 9A-Edge to Edge Full Screen Coverage.
Pathetic Phone,1,"  Product is below average. This is third Mi phone that I bought and all the three have had network (card) problems. Camera clarity is good but takes 10 sec to launch.. again, poor experience. Battery is good, but compared to other phones in this range, it take double the time to charge... hence the fast charging option too is not at par.Overall A very poor experience with Mi phones. I'll never buy Mi phone in future and WOULD NOT RECOMMEND ANYONE TO BUY THIS PHONE."
Don't Buy This!!!,3,"  I ordered this phone day after today and it has been delivered to me. I did not like this phone at all because this phone heats up quickly and the sound of the phone speaker is also very low. Therefore, I would suggest that you spend more than 2000 rupees. And buy other smartphones of Realme.But in this MRP it is good"
Fantastic Smartphone .....,5,  Good Smartphone in low budget lover for normal use.I gifted to my wife and she is very happy with phone and it's colors.I received within 4 days.Redmi needs to price 7000 with fingerprint function.Thanks
Good inexpensive phone,3,"  It comes with 2GB of RAM. The Redmi 9A runs Android 10 and is powered by a 5000mAh non-removable battery. The Redmi 9A supports proprietary fast charging. As far as the cameras are concerned, the Redmi 9A on the rear packs a 13-megapixel camera with an f/2.2 aperture.Redmi 9A is not the best choice when choosing an inexpensive smartphone. It got a lot of flaws. On the positive side of Redmi 9A, there are high-quality assembly and materials of use. Also, the screen size is larger, decent battery life"
Good and worth it.,4,"  Got delivered on time. Best budget level phone. Has good outer body design with attractive colour.Specs are good and user interface is smooth and lag free.Cameras are okay, not great. Yes it has a AI mode for better usage.Gets warm while using but no heating issue. Came with 55% battery charge.Overall a good buy in this price range."
Overall good product,3,  Battery quality superb at this rate .long lasting.camera quality is not good as I thought.average camera.display is perfect. Not useable for gamers.aged people can use.overall good phone.kindly press the helpful button
Good mobile at 7k range,4,"  I bought this mobile to use it for calling purpose ,just needed an extra mobile for me. It comes with 3 gb ram and 32 gb hd., Which is suffice to me. Its a good phone for basic necessities like calling, browsing and apps, not a good camera, no fingerprint reader, battery life is good, charging is fast. It's a value for money if you looking at a mobile with 7k range with big screen size and 3 gb ram."
